Entity,Code,Year,population_clean_fuels_and_technologies_for_cooking
Kuwait,KWT,2020,100
Kyrgyzstan,KGZ,2020,76.6
Laos,LAO,2020,8.5
Latvia,LVA,2020,100
Lesotho,LSO,2020,40.1
Liberia,LBR,2020,0.4
Libya,LBY,2020,16
Lithuania,LTU,2020,100
Luxembourg,LUX,2020,100
Madagascar,MDG,2020,1
Malawi,MWI,2020,1
Malaysia,MYS,2020,95.5
Maldives,MDV,2020,99.2
Mali,MLI,2020,0.9
Malta,MLT,2020,100
Marshall Islands,MHL,2020,63.9
Mauritania,MRT,2020,42.6
Mauritius,MUS,2020,96.8
Mexico,MEX,2020,84.9
Micronesia (country),FSM,2020,13
Moldova,MDA,2020,95.8
Monaco,MCO,2020,100
Mongolia,MNG,2020,51.8
Montenegro,MNE,2020,62.4
Morocco,MAR,2020,98.1
Mozambique,MOZ,2020,5.1
Myanmar,MMR,2020,31.25
Namibia,NAM,2020,46.8
Nauru,NRU,2020,100
Nepal,NPL,2020,34.8
Netherlands,NLD,2020,100
New Zealand,NZL,2020,100
Nicaragua,NIC,2020,56.2
Niger,NER,2020,2.4
Nigeria,NGA,2020,15
Niue,NIU,2020,98
North Korea,PRK,2020,11.5
North Macedonia,MKD,2020,78.1
Norway,NOR,2020,100
Oman,OMN,2020,100
Pakistan,PAK,2020,49.3
Palau,PLW,2020,100
Panama,PAN,2020,87.6
Papua New Guinea,PNG,2020,9.4
Paraguay,PRY,2020,68.6
Peru,PER,2020,85.1
Philippines,PHL,2020,48
Poland,POL,2020,100
Portugal,PRT,2020,100
Qatar,QAT,2020,100
Romania,ROU,2020,87.7
Russia,RUS,2020,86.3
Rwanda,RWA,2020,2.4
Saint Kitts and Nevis,KNA,2020,100
Saint Lucia,LCA,2020,94.3
Saint Vincent and the Grenadines,VCT,2020,94.2
Samoa,WSM,2020,36.5
San Marino,SMR,2020,100
Sao Tome and Principe,STP,2020,3.3
Saudi Arabia,SAU,2020,100
Senegal,SEN,2020,24.2
Serbia,SRB,2020,79.8
Seychelles,SYC,2020,100
Sierra Leone,SLE,2020,0.8
Singapore,SGP,2020,100
Slovakia,SVK,2020,100
Slovenia,SVN,2020,100
Solomon Islands,SLB,2020,9.1
Somalia,SOM,2020,3.2
South Africa,ZAF,2020,86.8
South Korea,KOR,2020,100
South Sudan,SSD,2020,0
South-east Asia,,2020,64.5007
Spain,ESP,2020,100
Sri Lanka,LKA,2020,32.2
Sudan,SDN,2020,54.7
Suriname,SUR,2020,94.5
Sweden,SWE,2020,100
Switzerland,CHE,2020,100
Syria,SYR,2020,96.9
Tajikistan,TJK,2020,82.4
Tanzania,TZA,2020,4.5
Thailand,THA,2020,83.6
Timor,TLS,2020,13.6
Togo,TGO,2020,10.1
Tonga,TON,2020,84.1
Trinidad and Tobago,TTO,2020,100
Tunisia,TUN,2020,99.8
Turkey,TUR,2020,95.2
Turkmenistan,TKM,2020,99.9
Tuvalu,TUV,2020,70.6
Uganda,UGA,2020,0.5
Ukraine,UKR,2020,94.9
United Arab Emirates,ARE,2020,100
United Kingdom,GBR,2020,100
United States of America,USA,2020,100
Uruguay,URY,2020,100
Uzbekistan,UZB,2020,84.25
Vanuatu,VUT,2020,7.6
Venezuela,VEN,2020,97
Vietnam,VNM,2020,65.3
Western Pacific,,2020,78.33744
World,OWID_WRL,2020,69.3
Yemen,YEM,2020,61.5
Zambia,ZMB,2020,10.4
Zimbabwe,ZWE,2020,30.4
